,X,Y,NAME,ADDRESS,LINE,GLOBALID,GIS_ID
0,-77.16462968,39.11993515,Shady Grove,"15903 SOMERVILLE DRIVE, DERWOOD, MD",red,{4A7BBA5F-D492-4A0F-A81C-50152E80FADF},MetroStnFullPt_1
1,-77.14612767,39.08432943,Rockville,"251 HUNGERFORD DRIVE, ROCKVILLE, MD",red,{CC804700-B42E-4F50-BC43-EFEB771B7F92},MetroStnFullPt_2
2,-77.12082028,39.06247547,Twinbrook,"1600 CHAPMAN AVENUE, ROCKVILLE, MD",red,{BEBD5C27-B4A4-4085-B5DD-404E32B2D283},MetroStnFullPt_3
3,-77.05355966,39.06179158,Glenmont,"12501 GEORGIA AVENUE, SILVER SPRING, MD",red,{511DB3B0-0EAD-4EF9-A949-84EF64F3DE97},MetroStnFullPt_4
4,-77.11283218,39.04815917,White Flint,"5500 MARINELLI ROAD, ROCKVILLE, MD",red,{14C07EA2-75C0-4AB0-B6F7-CB297C34D4EE},MetroStnFullPt_5
5,-77.05010936,39.03753496,Wheaton,"11171 GEORGIA AVENUE, SILVER SPRING, MD",red,{D7601C01-7869-4313-8E8D-2C3E0DF511DE},MetroStnFullPt_6
6,-77.10385204,39.02927676,Grosvenor-Strathmore,"10300 ROCKVILLE PIKE, BETHESDA, MD",red,{1FC9F25E-E9F1-40D6-B0DA-FBB89DA2DE83},MetroStnFullPt_7
7,-77.04291885,39.01496208,Forest Glen,"9730 GEORGIA AVENUE, FOREST GLEN, MD",red,{0EB64BBE-1209-4CCC-939F-AFE095D66B6E},MetroStnFullPt_8
8,-76.91105983,39.01115367,Greenbelt,"5717 GREENBELT METRO DRIVE, GREENBELT, MD","green, yellow",{989E0ABD-7B34-4371-9894-81608C3F0222},MetroStnFullPt_9
9,-77.0969546,39.00006429,Medical Center,"8810 ROCKVILLE PIKE, BETHESDA, MD",red,{05C2C9C1-03DD-47C4-B79A-E17A3F3EBC55},MetroStnFullPt_10
10,-77.03102012,38.99395718,Silver Spring,"8400 COLESVILLE ROAD, SILVER SPRING, MD",red,{E2C8A3F4-D14C-4560-B208-2B20E3E916B2},MetroStnFullPt_11
11,-77.0941315,38.98440146,Bethesda,"7450 WISCONSIN AVENUE, BETHESDA, MD",red,{BB78FDF2-307A-4455-B989-7E1022BF6B5B},MetroStnFullPt_12
12,-76.92812724,38.97864144,College Park-U of Md,"4931 CALVERT ROAD, COLLEGE PARK, MD","green, yellow",{30237246-424F-4902-BEC0-73AF149BF312},MetroStnFullPt_13
13,-77.01817899,38.97608633,Takoma,"327 CEDAR STREET NW, WASHINGTON, DC",red,{E4053E09-BAE7-430B-BC36-51844F0CDA64},MetroStnFullPt_14
14,-76.95588378,38.96539325,Prince George's Plaza,"3575 EAST WEST HIGHWAY, HYATTSVILLE, MD","green, yellow",{548B930C-61C5-4938-A14D-0EB66658044D},MetroStnFullPt_15
15,-77.08499811,38.95949167,Friendship Heights,"5337 WISCONSIN AVENUE NW, WASHINGTON, DC",red,{B523146C-2AA3-4300-8EBC-4321AC6BAA80},MetroStnFullPt_16
16,-76.96957895,38.95504797,West Hyattsville,"2700 HAMILTON ST., HYATTSVILLE, MD","green, yellow",{18A5149F-DF80-49A1-B45E-CDA039512375},MetroStnFullPt_17
17,-77.00220536,38.95185457,Fort Totten,"550 GALLOWAY STREET NE, WASHINGTON, DC","red, green,yellow",{C8E0847D-DA99-47CE-B41D-5D64DB44B375},MetroStnFullPt_18
18,-77.07958963,38.94885923,Tenleytown-AU,"4501 WISCONSIN AVENUE NW, WASHINGTON, DC",red,{58A4BBE6-CFB0-45A3-B0DC-2B0D43F11F4C},MetroStnFullPt_19
19,-77.34006222,38.94774066,Wiehle-Reston East,"1862 WIEHLE AVENUE RESTON, VA 20190",silver,{31D6219B-16DF-460F-A8CE-ACB85D6F036D},MetroStnFullPt_20
20,-76.87184353,38.94779266,New Carrollton,"4700 GARDEN CITY DRIVE, NEW CARROLLTON, MD",orange,{FEA24032-6DB8-4B50-95D4-4A1676426071},MetroStnFullPt_21
21,-77.06298848,38.94327308,Van Ness-UDC,"4200 CONNECTICUT AVENUE NW, WASHINGTON, DC",red,{6DCB86A5-1418-4732-9A2D-05808C831A22},MetroStnFullPt_22
22,-77.02346319,38.93744242,Georgia Ave Petworth,"3700 GEORGIA AVENUE NW, WASHINGTON, DC","green, yellow",{B0079892-887F-4600-9184-E6394080B974},MetroStnFullPt_23
23,-77.05804482,38.93477068,Cleveland Park,"3599 CONNECTICUT AVENUE NW, WASHINGTON, DC",red,{B579F81E-5C27-46C6-BD00-55FC317FDFAD},MetroStnFullPt_24
24,-76.89120021,38.93351403,Landover,"3000 PENNSY DRIVE, HYATTSVILLE, MD",orange,{A737984F-86AD-4B07-A10A-2CBCD0761B1F},MetroStnFullPt_25
25,-76.99453656,38.93321879,Brookland-CUA,"801 MICHIGAN AVENUE NE, WASHINGTON, DC",red,{00E84D8A-2952-4996-8F8B-CC36FCF76BD5},MetroStnFullPt_26
26,-77.24156035,38.92895963,Spring Hill,"1576 SPRING HILL ROAD VIENNA, VA 22182",silver,{815F2ABD-AEB1-49B1-A682-DF25AD7D7F59},MetroStnFullPt_27
27,-77.03255441,38.92784576,Columbia Heights,"3030 14TH STREET NW, WASHINGTON, DC","green, yellow",{3D5472EA-F9AE-4249-A5B1-03B2E6EBE0CC},MetroStnFullPt_28
28,-77.05242032,38.92509293,Woodley Park-Zoo Adams Morgan,"2700 24TH STREET NW, WASHINGTON, DC",red,{48A1623E-766A-478A-B4D6-F5997B3DBB9B},MetroStnFullPt_29
29,-77.21008129,38.92452955,McLean,"1824 DOLLEY MADISON BOULIVARD MCLEAN, VA 22102",silver,{06362927-C76E-4BC6-BBDF-7ECF1A44BF85},MetroStnFullPt_30
30,-77.2338802,38.92096318,Greensboro,"8305 LEESBURG PIKE VIENNA, VA 22182",silver,{D5220161-5D5D-4289-AC6F-96916210C1FA},MetroStnFullPt_31
31,-76.99593919,38.92106748,Rhode Island Ave,"919 RHODE ISLAND AVENUE NE, WASHINGTON, DC",red,{96060E28-A62C-4006-9CBB-0B511C71193E},MetroStnFullPt_32
32,-77.22171803,38.92068205,Tysons Corner,"1943 CHAIN BRIDGE ROAD MCLEAN, VA 22102",silver,{1D2DD6DA-17AC-4B78-A2E2-71FD8E25DCEB},MetroStnFullPt_33
33,-77.02749818,38.91701019,U St/African-Amer Civil War Memorial/Cardozo,"1300 U STREET NW, WASHINGTON, DC","green, yellow",{D2B6D30F-143D-4E6E-88E9-A5E4F6E6CBF3},MetroStnFullPt_34
34,-76.9166303,38.91663965,Cheverly,"5501 COLUMBIA PARK, CHEVERLY, MD 
",orange,{5114F493-FE55-4BE7-A585-F6AC180B2FD8},MetroStnFullPt_35
35,-77.02191399,38.91348466,Shaw-Howard Univ,"1701 8TH STREET NW, WASHINGTON, DC","green, yellow",{8C473F61-4B42-498B-9642-210930944FF2},MetroStnFullPt_36
36,-77.04341665,38.90960585,Dupont Circle,"1525 20TH STREET NW, WASHINGTON, DC",red,{3C45C08F-1860-4540-85CC-565182B2F54B},MetroStnFullPt_37
37,-76.93525904,38.90818629,Deanwood,"4720 MINNESOTA AVENUE NE, WASHINGTON, DC",orange,{DAC185CD-4904-4415-A2C0-EACFED9A915E},MetroStnFullPt_38
38,-77.00302273,38.907024,NoMa - Gallaudet U,"200 FLORIDA AVENUE NE, WASHINGTON, DC",red,{4D432E86-24D1-4C92-B83A-183F895D0B13},MetroStnFullPt_39
39,-77.02191667,38.9064446,Mt Vernon Sq - 7th St Convention Center,"700 M STREET NW, WASHINGTON, DC","green, yellow",{3FF5C088-2316-4212-8D96-0266547398D0},MetroStnFullPt_40
40,-77.03970312,38.90320973,Farragut North,"1001 CONNECTICUT AVENUE NW, WASHINGTON, DC",red,{3FC709FA-E53A-4025-9930-F88780353F0F},MetroStnFullPt_41
41,-77.03363646,38.90134058,McPherson Sq,"1400 I STREET NW, WASHINGTON, DC","blue, orange, silver",{A549573B-56F2-4627-B0D0-433E2807E49F},MetroStnFullPt_42
42,-77.04069771,38.90132068,Farragut West,"900 18TH STREET NW, WASHINGTON, DC","blue, orange, silver",{33E5FA76-DAEE-41F0-B55C-7C4885022329},MetroStnFullPt_43
43,-77.18909716,38.90078833,West Falls Church VT/UVA,"7040 HAYCOCK ROAD, FALLS CHURCH, VA",orange,{03CF6C4A-9348-41B2-8679-650687511F88},MetroStnFullPt_44
44,-77.05028003,38.90070579,Foggy Bottom GWU,"2301 I STREET NW, WASHINGTON, DC","blue, orange, silver",{6BB1C362-9BF7-4FF9-B80D-DA5E9DF79353},MetroStnFullPt_45
45,-76.84455387,38.90060752,Largo Town Center," LARGO TOWN CENTER, 9000 LOTTSFORD ROAD, LARGO, MD","blue, orange, silver",{223536AF-955E-47C6-A1D1-43D394638D95},MetroStnFullPt_46
46,-76.94674999,38.89919901,Minnesota Ave,"400 MINNESOTA AVENUE NE, WASHINGTON, DC",orange,{3E911EA3-8882-4B2E-9DB5-2E1C4A1FE86C},MetroStnFullPt_47
47,-77.02191767,38.8983246,Gallery Pl-Chinatown,"630 H STREET NW, WASHINGTON, DC","red, green, yellow",{A38DA8AA-0A32-4087-82A4-7DDB347F090A},MetroStnFullPt_48
48,-77.02808028,38.89832226,Metro Center,"607 13TH STREET NW, WASHINGTON, DC","red, blue, orange, silver",{C391E30D-E811-4FFF-9F08-9E8204C4C390},MetroStnFullPt_49
49,-77.00741657,38.89777383,Union Station,"701 1ST STREET NE, WASHINGTON, DC",red,{4868BB9C-8D17-4D3D-8C2D-EBF854A58E22},MetroStnFullPt_50
50,-77.01664124,38.8960981,Judiciary Sq,"450 F STREET NW, WASHINGTON, DC",red,{92471CDB-E0CE-49FA-B9DC-0765FD9DCCF2},MetroStnFullPt_51
51,-77.07091098,38.89598688,Rosslyn,"1850 N. MOORE STREET, ARLINGTON, VA","blue, orange, silver",{1E1338C4-A3F8-497A-92A6-F569B1DA2025},MetroStnFullPt_52
52,-76.868077,38.89384272,Morgan Boulevard,"300 GARRETT MORGAN BLVD., LANDOVER, MD","blue, orange, silver",{A2446BF1-C832-41DD-B942-7DB6EBFF89FC},MetroStnFullPt_53
53,-77.02191667,38.89367301,Archives-Navy Mem'l,"701 PENNSYLVANIA AVENUE NW, WASHINGTON, DC","green, yellow",{9682A244-C8EF-46E6-8297-D5C5329470B6},MetroStnFullPt_54
54,-77.02813428,38.89318866,Federal Triangle,"302 12TH STREET NW, WASHINGTON, DC","blue, orange, silver",{4C4DB076-3EE2-4F5B-BCEE-AC3AA4C15213},MetroStnFullPt_55
55,-76.93836713,38.89098346,Benning Road,"4500 BENNING ROAD NE, WASHINGTON, DC","blue, orange, silver",{FDFAB61E-7EAB-41FD-A7EE-50F173145243},MetroStnFullPt_56
56,-77.08713354,38.89018331,Court House,"2100 WILSON BLVD, ARLINGTON, VA","orange, silver",{B31D703D-FB78-4D4B-9A0A-AE250C67C3EC},MetroStnFullPt_57
57,-76.91181036,38.88947365,Capitol Heights,"133 CENTRAL AVENUE, CAPITOL HEIGHTS, MD","blue, orange, silver",{C3D15A6D-8E95-4963-9655-135C2812B01A},MetroStnFullPt_58
58,-77.02806852,38.88802649,Smithsonian,"1200 INDEPENDENCE AVENUE SW, WASHINGTON, DC","blue, orange, silver",{58C3EB31-633C-4A32-8BB7-E7EF4D9DD62A},MetroStnFullPt_59
59,-76.89411015,38.88675561,Addison Road Seat Pleasant,"100 ADDISON ROAD S., CAPITOL HEIGHTS, MD","blue, orange, silver",{F0D2DD3E-D168-4A80-B512-269FBA6BCF01},MetroStnFullPt_60
60,-77.09539641,38.88671262,Clarendon,"3100 WILSON BLVD, ARLINGTON, VA","orange, silver",{96049F8D-761F-4415-8369-6B80AA533761},MetroStnFullPt_61
61,-76.97709117,38.88671688,Stadium Armory,"192 19TH STREET SE, WASHINGTON, DC","blue, orange, silver",{2596A9B0-211C-4F3C-B6BF-4164F2838D3C},MetroStnFullPt_62
62,-77.15688535,38.88596094,East Falls Church,"2001 N. SYCAMORE ST., ARLINGTON, VA","orange, silver",{68091B6E-1FA1-4CE3-A971-C6879F926DE2},MetroStnFullPt_63
63,-77.0158705,38.88508014,Federal Center SW,"401 3RD STREET SW, WASHINGTON, DC","blue, orange, silver",{64353C93-D870-4C60-9630-0BDB7F22C82D},MetroStnFullPt_64
64,-77.0051417,38.88507028,Capitol South,"355 1ST STREET SE, WASHINGTON, DC","blue, orange, silver",{B247C99B-1924-4C50-BF2A-DD929E448B93},MetroStnFullPt_65
65,-77.02191077,38.88484551,L'Enfant Plaza,"600 MARYLAND AVENUE SW, WASHINGTON, DC","grn, yllw, orange, blue, slvr",{3499AFBA-DCD0-4337-8080-498EB826F8B5},MetroStnFullPt_66
66,-77.06281243,38.88469464,Arlington|Cemetery,"1000 NORTH MEMORIAL DRIVE, ARLINGTON, VA",blue,{81520293-C8F3-4111-8607-C65BE969DCC9},MetroStnFullPt_67
67,-76.9960034,38.88463005,Eastern Market,"701 PENNSYLVANIA AVENUE SE, WASHINGTON, DC","blue, orange, silver",{630E835E-DBB8-46C8-B082-14DF9711C47B},MetroStnFullPt_68
68,-77.22716302,38.88363291,Dunn Loring Merrifield,"2700 GALLOWS ROAD, VIENNA, VA",orange,{B9F41AC3-0D3E-4184-A146-8A7B3AE0A429},MetroStnFullPt_69
69,-77.1029796,38.88337393,Virginia Square-GMU,"3600 FAIRFAX DRIVE, ARLINGTON, VA","orange, silver",{2798B28A-6013-4A42-AEC6-A8B108BD88AE},MetroStnFullPt_70
70,-77.11317115,38.88219065,Ballston-MU,"4230 FAIRFAX DRIVE, ARLINGTON, VA","orange, silver",{BD213BD8-4E68-4C0B-9CB6-B7DA32E436E2},MetroStnFullPt_71
71,-76.98549759,38.88127106,Potomac Ave,"700 14TH STREET SE, WASHINGTON, DC","blue, orange, silver",{2EC88D69-AC66-4C94-A506-662CB4C26776},MetroStnFullPt_72
72,-77.27262462,38.8776089,Vienna Fairfax-GMU,"2900 NUTLEY ST., FAIRFAX, VA",orange,{8A6E0284-5E42-4C9D-9383-2D339B9255D2},MetroStnFullPt_73
73,-77.00508793,38.87648887,Navy Yard - Ballpark,"200 M STREET SE, WASHINGTON, DC",green,{D576FE38-E540-461E-8E0B-C9718207F091},MetroStnFullPt_74
74,-77.01750749,38.87646965,Waterfront,"399 M STREET SW, WASHINGTON, DC",green,{6E8E4936-D43D-4693-8B98-CE096DF4DB5A},MetroStnFullPt_75
75,-77.05371797,38.86947048,Pentagon,"2 SOUTH ROTARY ROAD, ARLINGTON, VA","blue, yellow",{89F62B4B-BBB7-4F4B-9CED-F71DA6A52877},MetroStnFullPt_76
76,-76.99537301,38.8629709,Anacostia,"1101 HOWARD ROAD SE, WASHINGTON, DC",green,{F93E5443-0328-4C90-B505-0DFC8B992099},MetroStnFullPt_77
77,-77.05954122,38.86189016,Pentagon City,"1250 SOUTH HAYES ST., ARLINGTON, VA","blue, yellow",{1D9B9E8C-3780-4018-B1B6-32732C4547D8},MetroStnFullPt_78
78,-77.0502921,38.8579121,Crystal City,"1750 SOUTH CLARK ST., ARLINGTON, VA","blue, yellow",{9740BCF0-3BF9-431D-A74D-0D479D37732A},MetroStnFullPt_79
79,-77.04404458,38.85342416,Ronald Reagan Washington National Airport,"2400 S. SMITH BLVD., ARLINGTON, VA","blue, yellow",{14A1044C-68FF-4B62-95F1-A1CA9AF614B0},MetroStnFullPt_80
80,-76.95626497,38.85130916,Naylor Road,"3101 BRANCH AVENUE, TEMPLE HILLS, MD",green,{8340021D-C95C-4F6C-AA53-304B249D57AA},MetroStnFullPt_81
81,-76.9885142,38.84566548,Congress Heights,"1290 ALABAMA AVENUE SE, WASHINGTON, DC",green,{46E81010-ED9E-4231-8880-AEC608527A1C},MetroStnFullPt_82
82,-76.93187241,38.84397233,Suitland,"4500 SILVER HILL ROAD, SUITLAND, MD",green,{3EF9E098-7DB3-4B6F-A3C5-620BF96CD0FF},MetroStnFullPt_83
83,-76.97505641,38.84109356,Southern Ave,"1411 SOUTHERN AVENUE, TEMPLE HILLS, MD",green,{93401695-BC06-4FBD-BE93-4CCBF6370EDE},MetroStnFullPt_84
84,-76.91146646,38.82645412,Branch Ave,"4704 OLD SOPER ROAD, SUITLAND, MD",green,{596D71F4-F811-491D-ACD4-160B636BBAF1},MetroStnFullPt_85
85,-77.05366986,38.81415144,Braddock Road,"700 N. WEST ST., ALEXANDRIA, VA","blue, yellow",{0769621A-4E4F-448C-9317-BC99188DEC62},MetroStnFullPt_86
86,-77.0608135,38.80659388,King St - Old Town,"1900 KING STREET, ALEXANDRIA, VA","blue, yellow",{29528A98-3B35-424A-9E75-24301EAE74F8},MetroStnFullPt_87
87,-77.07087668,38.80043321,Eisenhower Ave,"2400 EISENHOWER AVENUE, ALEXANDRIA, VA",yellow,{7828FA51-CF90-4E9F-9485-86133E2E6939},MetroStnFullPt_88
88,-77.12911384,38.79931543,Van Dorn Street,"5690 EISENHOWER AVENUE, ALEXANDRIA, VA","blue, yellow",{34E52161-9ED4-40F2-ADDB-CB5D7C33942A},MetroStnFullPt_89
89,-77.07520808,38.79392362,Huntington,"2701 HUNTINGTON AVENUE, ALEXANDRIA, VA",yellow,{D5F1EB8F-ECA2-443E-AB48-CAD2F0AEE740},MetroStnFullPt_90
90,-77.1679725,38.76652965,Franconia-Springfield,"6880 FRONTIER DRIVE, SPRINGFIELD, VA","blue, yellow",{F282ED36-9196-4D0E-8B0F-88481D54919C},MetroStnFullPt_91
